Year,Season,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Italy,Latvia,Lithuania,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
2022,Spring22,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,3,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,-,4,5,2
2021,Winter21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,Autumn21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
2021,Summer21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
2021,Spring21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
2020,Winter20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Autumn20,2,2,5,4,4,3,2,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,2
2020,Summer20,2,2,5,4,4,3,2,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,2
2020,Spring20,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2019,Winter19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2019,Autumn19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2019,Summer19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2019,Spring19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2018,Winter18,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
2018,Autumn18,2,2,5,4,4,2,2,3,2,2,1,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
2018,Summer18,2,2,5,4,4,2,2,3,2,2,1,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
2018,Spring18,1,2,5,4,4,2,1,3,2,2,1,3,3,1,2,3,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
