,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Italy,Latvia,Lithuania,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Spring22,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,3,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,-,4,5,2
Winter21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Autumn21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
Summer21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
Spring21,2,2,5,4,4,2,1,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,3,2,1,4,5,2
Winter20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Autumn20,2,2,5,4,4,3,2,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,2
Summer20,2,2,5,4,4,3,2,3,2,2,2,4,3,2,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,2
Spring20,2,2,5,4,4,3,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Winter19,2,2,5,4,4,3,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Autumn19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Summer19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Spring19,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Winter18,2,2,5,4,4,2,2,3,2,2,2,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,2,1,4,5,-
Autumn18,2,2,5,4,4,2,2,3,2,2,1,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
Summer18,2,2,5,4,4,2,2,3,2,2,1,4,3,1,2,4,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
Spring18,1,2,5,4,4,2,1,3,2,2,1,3,3,1,2,3,3,5,5,1,5,1,3,3,4,4,5,3,3,2,1,1,4,5,-
